ID,CO2_PHREEQC,logpCO2_PHREEQC
170,1.698e-05,-3.37
180,4.892e-05,-2.92
189,5.466e-05,-2.92
191,4.923e-05,-2.92
214,6.85e-05,-2.76
233,4.228e-05,-3.05
236,7.077e-05,-2.77
242,5.142e-05,-2.94
252,0.0001128,-2.6
258,1.909e-05,-3.39
261,2.777e-05,-3.19
264,3.797e-05,-3.12
277,3.087e-05,-3.13
285,4.056e-05,-3.04
288,3.332e-05,-3.14
326,1.933e-05,-3.35
328,3.03e-05,-3.16
339,7.627e-05,-2.78
340,3.028e-05,-3.17
344,5.419e-07,-4.91
345,8.381e-05,-2.73
349,6.985e-05,-2.82
353,3.289e-05,-3.08
361,3.389e-05,-3.08
363,2.361e-05,-3.24
374,3.572e-05,-3.08
378,1.912e-05,-3.35
380,3.351e-05,-3.1
394,5.094e-05,-2.93
395,2.312e-05,-3.26
404,3.476e-05,-3.19
405,2.777e-05,-3.25
433,3.274e-05,-3.15
436,3.329e-05,-3.14
453,3.182e-05,-3.19
481,8.908e-05,-2.68
482,1.153e-06,-4.55
486,9.698e-05,-2.63
487,3.695e-05,-3.05
498,2.447e-05,-3.2
519,7.644e-06,-3.69
2252,8.612e-05,-2.7
2268,1.837e-05,-3.37
2312,3.093e-05,-3.1
2374,1.401e-05,-3.43
2678,2.366e-05,-3.24
2870,1.237e-05,-3.49
2872,2.124e-05,-3.29
2875,2.818e-05,-3.15
2878,3.599e-05,-3.08
2887,2.736e-05,-3.18
2888,9.85e-05,-2.63
2899,3.955e-05,-3.01
3017,1.474e-05,-3.42
3019,2.717e-05,-3.15
3020,2.443e-05,-3.2
3025,2.136e-05,-3.26
3027,1.706e-05,-3.36
3029,6.061e-05,-2.81
3031,1.654e-05,-3.37
3106,2.98e-05,-3.11
3160,2.706e-05,-3.17
3165,3.381e-05,-3.06
3167,2.005e-05,-3.28
3185,5.275e-05,-2.91
3189,5.923e-05,-2.85
3201,3.67e-05,-3.04
3220,3.217e-05,-3.11
3384,1.165e-05,-3.53
3397,1.172e-05,-3.54
3399,2.493e-05,-3.21
3516,2.919e-05,-3.14
3541,3.235e-05,-3.1
5000,6.768e-05,-2.76
10000,2.087e-05,-3.31
10001,4.5e-05,-2.99