-999,"MyLake model parameters for Vansjoen (Storefjorden), last modified 3.1.2006",,,
Parameter,Value,Min,Max,Unit
dz,1,0.5,2,m
Kz_ak,0.0162,NaN,NaN,(-)
Kz_ak_ice,0.000898,NaN,NaN,(-)
Kz_N0,7.00E-05,NaN,NaN,s-2
C_shelter,7.32E-01,NaN,NaN,(-)
latitude,59.42,NaN,NaN,dec.deg
longitude,10.83,NaN,NaN,dec.deg
alb_melt_ice,0.3,NaN,NaN,(-)
alb_melt_snow,0.77,NaN,NaN,(-)
PAR_sat,3.00E-05,1.00E-05,1.00E-04,mol m-2 s-1
f_par,0.45,NaN,NaN,(-)
beta_chl,0.015,0.005,0.045,m2 mg-1
lambda_I,5,NaN,NaN,m-1
lambda_s,15,NaN,NaN,m-1
sed_sld,0.36,NaN,NaN,(m3/m3)
I_scV ,2.15,NaN,NaN,(-)
I_scT,0,NaN,NaN,deg C
I_scC,1,NaN,NaN,(-)
I_scS,0.466,0.2,0.6,(-)
I_scTP,0.466,0.3,0.7,(-)
I_scDOP,1,NaN,NaN,(-)
I_scChl,1,NaN,NaN,(-)
I_scDOC,1,NaN,NaN,(-)
swa_b0,2.5,NaN,NaN,m-1
swa_b1,1.05,0.8,1.3,m-1
S_res_epi,3.63E-07,7.30E-08,1.82E-06,m d-1 (dry mass)
S_res_hypo,3.63E-08,NaN,NaN,m d-1 (dry mass)
H_sed,0.03,NaN,NaN,m
Psat_Lang,2500,NaN,NaN,mg m-3
Fmax_Lang,8000,5000,10000,mg kg-1
Uz_Sz,0.25,0.1,0.5,m d-1
Uz_Chl,0.2,0.1,0.4,m d-1
Y_cp,1,NaN,NaN,(-)
m_twty,0.2,0.1,0.3,d-1
g_twty,1.5,1,1.5,d-1
k_sed_twty,2.00E-04,NaN,NaN,d-1
k_dop_twty,0,NaN,NaN,d-1
P_half,0.2,0.2,2,mg m-3