"lakenames","model2a","model2b","model3b","maximumdepth","meandepthbyDM","volumebyDM","surfacearea","perimeterfromshp"
"SW3-1285",0.0202913449274814,0.725658335505793,0.707855550366575,2.1,1.25793163811584,1215598.9748425,966347.405542044,9436.78
"SW3-1315",-0.0265647537606733,2.15057538708287,2.19065844034052,22.5,6.85371223354383,25147678.3780308,3669205.46429592,23428.3
"SW3-1317",0.00198534313897991,1.24981248439597,1.24733057399477,5.5,2.50831141432287,1331288.63609233,530750.938057553,4898.01
"SW3-1327",-0.0234019938208949,0.985207169544877,1.03653566592788,8,3.79155864132221,6165897.88796053,1626217.20280458,13529.9
"SW3-1340",-0.0372468105249685,2.06413925412118,2.11912735848731,11.1,3.62177899041448,7029562.83740863,1940914.35618057,16975.5
"SW3-1354",-0.00710689407262891,0.702811033994807,0.719651570265457,2.9,1.62683373475146,960985.939739626,590709.375648912,6875.74
"SW3-1378",0.156118294278274,2.93309007597103,2.63518716524328,4.9,1.90400656734615,7954159.06559713,4177590.14176292,17085.8
"SW3-1395",-0.016896734379373,2.263405170037,2.30647702341016,4.6,1.44795093993649,340717.296138531,235309.972693879,3951.84
"SW3-1406",0.0382545832745696,3.21127316548545,3.11677349054864,11,3.03162414800395,1607184.65617192,530139.812097124,5178.59
"SW3-1407",-0.0130298050766783,0.734929637752762,0.763169216705777,6.7,3.66431706082925,3096454.41180371,845029.062824321,7925.98
"SW3-1411",-0.0153335754469882,0.451324951071165,0.485687804586854,4.3,2.66559570404623,1042443.68542099,391073.441421973,5836.23
"SW3-1453",0.0433343029233481,2.18026738329917,2.08885622888663,9,3.21461366117768,201876.155432733,62799.5077202451,1953.61
"SW3-1459",-0.01623531918953,3.06049718239399,3.10473883164993,15,3.78144172254138,9128173.97594692,2413940.14392272,19352
"SW3-1462",0.0713598038587504,2.37480685097242,2.26584303615321,8,3.0319401814853,9643718.5009459,3180708.69598146,19693.9
"SW3-1468",0.125333823964615,1.33257255466354,1.19972437640063,4.2,2.38845688025983,32413637.8047617,13570953.7285997,35958.7
"SW3-1469",NA,NA,NA,NA,NA,NA,NA,NA
"SW3-1472",-0.0829473317959357,0.899395350078792,1.04266911680548,6.1,2.55429320886036,10978408.2038836,4298021.92082006,27718.2
"SW3-1502",NA,NA,NA,NA,NA,NA,NA,NA
"SW3-1512",0.0674393675382862,1.86247297154326,1.74699842093456,2.5,1.10697838426181,597989.92730522,540200.184400159,5560.87
"SW3-1549",-0.0366524267595132,1.23797506811486,1.28705807077702,8.5,3.59648534685112,35624.8574786319,9905.46437505245,726.203
"SW3-1555",0.0494223543398487,1.607426863379,1.51122315097604,12.5,5.4797212814564,209028.967219486,38145.9122614226,1938.59
"SW3-1580",-0.00451837609218969,1.73688898541874,1.74953366675506,15,5.60159654532224,7481888.81266131,1335670.7774517,11980.9
"SW3-1590",-0.0298518899967083,0.807279540021752,0.844871210479154,6.6,3.35085998319605,2464227.96835991,735401.652327332,6975.1
"SW3-1598",-0.136901694736414,2.69324741115893,2.89348014546347,134,29.2878395313707,9127299746.53566,311641278.174829,286275
"SW3-2408",-0.0524366337518875,4.41007503591003,4.64384882706921,10,1.89733055545556,9085150.94986263,4788385.93714696,29055.4
"SW3-2802",-0.0880542545084525,1.02088962330927,1.1455913647799,3.4,1.35317207111395,338144.529380883,249890.266433387,6968.39
"SW3-3649",0.00030859513265597,2.68002749902566,2.67944580517277,120,35.0249859656642,55219729701.033,1576581065.73308,539999
"SW3-4016",-0.0342547884156223,1.71493899164686,1.79007134134101,16,5.57817786023246,4101108.57220279,735205.774172263,9306.93
"SW3-4071",-0.0913535069547518,0.969340855453916,1.1243333371131,18,7.26465163113247,559055.292897062,76955.5542761673,2423.21
"SW3-4263",0.026173594462125,1.14073524191639,1.11001238882826,6.5,3.2442144617025,179015.042889112,55179.7808074527,2543.06
"SW3-4558",0.0737942087774577,2.06298997620753,1.87288235308713,13,5.29182036698293,149246519.767131,28203247.5437601,65951.4
"SW3-4676",0.0134454467256561,3.88230563065809,3.85811016518603,8,2.34126161802854,6359655.44788881,2716336.95223004,14387.2
"SW3-4696",-0.0189633335426675,1.35529837666422,1.37791681122115,5.3,2.35424513077189,277377.796012963,117820.269600396,2966.69
"SW3-5085",-0.0412175843751953,2.10854392920397,2.15963658006486,4.5,1.47413491620941,1039969.92430088,705478.116599433,6435.54
"SW3-5131",0.1478398023808,1.93807601764769,1.72870645432023,3.4,1.70075177371665,224483.891190505,131990.978730506,3482.07
"SW3-5172",0.127675072594038,2.51195714974494,2.20918797244185,3.3,1.3713645553582,1295874.15335027,944952.345666971,9212.42
"SW3-5194",-0.00777997346159186,2.67086659866579,2.68436778767429,6,1.69069851269577,424796.105419368,251254.793346948,5369.12
"SW3-5279",-0.499771924279783,1.40208692513369,1.83962856383954,8.2,1.58719839386546,420990.624218483,265241.33709158,5382.58
"SW3-5299",NA,NA,NA,NA,NA,NA,NA,NA
"SW3-5639",-0.122315175790559,1.40426161442702,1.56986169827252,8.8,2.88479158180804,240489.97310266,83364.7652812176,2680.05
"SW3-5652",0.0275636613504303,2.09251522248833,2.04130242398568,9.7,3.43765236835496,89118.4366793072,25924.2142980134,1512.66
"SW3-5671",-0.101256143004111,1.33100764367918,1.49876613066707,9,3.23270120001732,367017.902910236,113532.887885917,2679.33
"SW3-5673",0.0150446927198085,1.75881799081918,1.73045913370278,6,2.28941368916486,672815.186574825,293881.0009563,5328.96
"SW3-5675",-0.0207117856482721,1.05826841249808,1.08701174080097,6.5,3.0037879374614,410451.613025604,136644.670519747,3708.81
"SW3-5676",-0.0718113706378326,1.75125465927683,1.85996473279383,15,4.69653112340036,1057296.77376042,225122.914334042,3873.58
"SW3-5677",-0.198778405566426,0.838140925322319,1.12134700099606,5.5,1.86403677953187,171268.466201321,91880.4114178118,2329.9
"SW3-5678",-0.0430160111209066,1.49251025393069,1.57882403858012,10,3.67405071440256,1474179.60548089,401240.951765307,9408.54
"SW3-5679",0.00522841632675128,1.87641802259157,1.86746339071495,5.8,2.06483929839688,451419.711198378,218622.200550356,4691.01
"SW3-5681",-0.0924354948046936,1.67934812444339,1.8151269612535,21.5,6.81651362099532,2268189.75074164,332749.243507042,5794.26
"SW3-5683",-0.0934640466669536,2.308468213973,2.45371886781222,26,6.72052089767682,2117849.03581823,315131.679234915,5766.5
"SW3-5685",0.0373649538629294,1.47896783125175,1.39701383562715,4,1.82465849476885,115693.936310691,63405.8025884715,2336.04
"SW3-5710",-0.117704731665864,0.277046278867444,0.40676820488243,5.5,2.93591050390559,129476.887763983,44101.1017167392,1578.74
"SW3-5712",-0.150296702022142,1.14161876812651,1.32160983634952,7.5,2.70331582473308,212312.06058904,78537.6457484406,2528.07
"SW3-5739",0.0255303627532127,1.88470028140494,1.840006341431,7,2.75888293951988,855997.376397812,310269.55299045,5358.59
"SW3-5740",-0.00205356395839952,0.504547573536344,0.507442274915362,6.5,4.28545344009912,244296.756044912,57006.0460251463,1901.52
"SW3-5741",-0.0320227435345155,0.774612812038012,0.822374153199265,9,4.62255791487228,308754.743073151,66793.0502460091,2360.26
"SW3-5747",-0.0504806424428686,1.27836650961253,1.34842235623615,6.5,2.55601267734489,271601.826721299,106259.968555176,2639.52
"SW3-5748",-0.233136438791096,1.03866539966029,1.33496009141177,14.5,4.38134021432164,1162302.13128148,265284.61028481,4299.68
"SW3-5749",-0.0684939022625996,1.74584786623874,1.87495710255118,6,2.00756563208249,387340.656721598,192940.470055667,4367.79
"SW3-5750",0.0369007316944753,1.65713482598029,1.60840924511412,14,5.57808890861862,338361.730080246,60659.0779787408,2119.11
"SW3-5751",0.0120110975669912,1.62920620673958,1.59887288527326,3,1.22373944784095,644617.174115733,526760.1491911,9520.26
"SW3-5752",-0.0742397495355019,0.913648283671261,1.02980582737408,6.7,2.94040079599883,437817.108791533,148897.085522251,3144.2
"SW3-5753",-0.255958367505052,1.3942167581719,1.80567762453801,22,5.38716792706599,1369878.14097714,254285.398102155,4458.42
"SW3-5754",0.0101133057676434,1.5266257608218,1.51084297407079,3.5,1.43825198249068,145075.557546226,100869.360384953,3155.73
"SW3-5755",-0.109820747319748,1.12823856173225,1.28470376119573,5.5,2.06626622667874,84977.7164468478,41126.2185625705,1456.09
"SW3-5756",-0.0476505678860207,3.08666983744347,3.17572507869132,11.2,3.05140894304904,3004336.32514272,984573.481042733,10966
"SW3-5758",-0.020640152741213,1.71870939317508,1.74920819014344,4.5,1.68107632872228,197206.962562358,117309.939586293,3704.02
"SW3-5759",-0.00415131433711835,3.22368884321036,3.23279408119001,4,1.13223659642678,540338.242867992,477230.858438282,7898.08
"SW3-5761",-0.215787467593771,1.98211533525672,2.27027191817807,7.5,1.99029791872441,82971.6009255778,41688.0307942817,1713.53
"SW3-5763",-0.21319759402332,1.08270859658959,1.31670455005683,20.5,6.57089396631126,2957120.8239123,450033.258651464,5359.07
"SW3-5764",-0.125583892994856,0.875814268448873,1.01484453579854,14.5,6.01132996890773,1676813.68152446,278942.212488318,4944.59
"SW3-5765",0.0452562117879399,2.27690388658178,2.19550386812127,7,2.53450654551176,460677.716257726,181762.290996454,4617.22
"SW3-5766",-0.0437975027485537,1.15504533731377,1.22694426401994,10,4.1836910070415,212127.939411369,50703.5388259648,1779.3
"SW3-5767",0.0201182175283103,1.69704409201039,1.66469124960882,8,3.17416973599984,98772.5484581582,31117.6013487652,2149.86
"SW3-5770",0.0223572569209592,0.770502455054629,0.728148676417644,2.5,1.47102369944451,93223.4426134196,63373.175189919,1984.79
"SW3-5771",-0.290400357642809,1.70765272770254,2.15895826525399,13,3.13134237130548,280953.472019079,89723.01291409,2847.47
"SW3-5772",0.133056816683257,1.36565472862108,1.19284378278319,1.7,1.03245826041765,118619.86861865,114890.715844209,2801.45
"SW3-5773",-0.152932738238531,1.51846775870439,1.77582117568786,9,2.70053840369644,244019.021238434,90359.3968167335,2835.17
"SW3-5774",-0.100630353705405,1.49136831510847,1.65023885512594,12,3.84637044076748,257475.606162771,66939.8879093393,2417.05
"SW3-5775",-0.194133393718488,1.07452324514638,1.28856902215341,16.5,5.42747839350314,1344530.08063778,247726.473171634,4721.38
"SW3-5776",0.0136325053280456,2.12299750273628,2.09847741717177,14,4.66665041196444,1059254.74834864,226983.950979679,4480.17
"SW3-5778",-0.0132424664882541,1.67112376980767,1.69402676899631,9.8,3.68916790279275,2042397.61710235,553620.130858297,7906.49
"SW3-5786",-0.254466824468037,2.14996520968403,2.56837213796855,23,4.6719616703736,4312431.94044814,923045.23125578,24797.8
"SW3-5788",0.0189567369836273,1.40161387890647,1.3687485169996,8,3.44694929906662,319778.308007738,92771.3987827815,2241.83
"SW3-5789",-0.0413514540730426,1.66107363302823,1.7306593746131,9,3.17726412448562,551779.041142461,173664.832234176,2991.84
"SW3-5792",0.0577091216816946,3.52829507725675,3.41951487372826,6,1.64166107627446,318518.349873387,194021.990578118,3577.74
"SW3-5793",0.0488387843574288,2.66262096440243,2.58640334215295,3.5,1.23568043039556,648648.146195875,524931.956710066,7277.3
"SW3-5794",-0.140900609195583,1.07531592666427,1.27085447350729,6.5,2.30677924780795,242142.655529245,104970.016424131,3392.01
"SW3-5795",-0.16533514261552,1.43166753996432,1.7098915774702,9,2.5789130517301,354423.53213407,137431.361594878,2929.64
"SW3-5797",-0.114103239253428,1.31217454721886,1.48077850916889,4.5,1.55446543497788,90709.3921147932,58354.0747022682,2309.79
"SW3-5798",-0.1082805304186,0.845982600639769,0.965369532605695,16.5,7.13054300400775,924492.280006148,129652.437337035,3608.43
"SW3-5799",-0.0392506722300257,1.88430487340968,1.97039488791907,4,1.3369172634638,196279.242217775,146814.801171194,2767.06
"SW3-5800",-0.0230485661190683,2.21477046221229,2.25821641391644,6,1.76933775458619,490521.968361653,277234.782952097,4781.04
"SW3-5801",0.0225964663273274,0.99245742215137,0.959067890234612,4.5,2.39775924100213,85828.1039176613,35795.1300739394,1964.03
"SW3-5802",-0.102633690757594,1.16022959672732,1.30142917293596,5.5,2.13130884944517,123632.716205687,58007.8838587246,2315.6
"SW3-5828",0.0381362654077801,2.08158819176656,1.99794244875739,4,1.47785752977133,333724.930892667,225816.713837297,5101.79
"SW3-5832",-0.0909137753996647,0.951733984739421,1.10098000252198,10,4.13679346613079,782844.078815859,189239.343280066,3557.33
"SW3-5837",-0.0173149854864453,1.91363559822704,1.93863692871357,15.2,5.0854507881727,776438.470188608,152678.396179623,3115.92
"SW3-5846",0.105945556692053,0.992027215767202,0.846271298819445,5.5,3.47281290700318,3141625.58946351,904634.275900148,8105.99
"SW3-5848",-0.0233124390936019,1.4039978198757,1.43721181196538,5.5,2.2071302426356,329271.687101094,149185.435793721,3164.75
"SW3-5849",-0.0469838193779305,0.772072702972206,0.846916679797434,2.3,1.14114509411771,73939.1691287888,64793.8369186576,2292.07
"SW3-5850",0.0531871968170573,1.61832992015974,1.52611908905972,16,6.80399661877001,1555166.69537345,228566.647297156,4185.3
"SW3-5851",-0.0784223221427924,1.70979461905751,1.84575567612268,8,2.52346189563395,319171.418625606,126481.568506277,3428.12
"SW3-5852",-0.0791823042161096,1.44330141322099,1.60218467961558,5,1.72349308561707,243044.962705865,141018.820866836,3351.6
"SW3-5854",0.09902118841587,2.04662053118748,1.87641756057684,16.2,6.49142765552774,9948141.3907422,1532504.39173745,14236
"SW3-5855",-0.0501297083896102,1.18179898998759,1.24393896561532,4.5,1.84651397607037,1233844.5129166,668202.098065017,7601.21
"SW3-5856",NA,NA,NA,NA,NA,NA,NA,NA
"SW3-5857",0.0726220956970714,2.28189348069556,2.04372498152652,7,2.8305027759281,3693329.96406749,1304831.77599304,12182.4
"SW3-5858",0.0808669294531714,1.83811767834812,1.7186251487254,18,7.62386376947783,1498798.0543545,196592.974333427,4293.63
"SW3-5859",0.0502207140861914,1.52103793437835,1.42026755173193,15,6.76146428468385,4504484.89727057,666199.614109356,9901.88
"SW3-5860",0.0812231203707546,2.1826002376281,2.08060027600211,10.7,3.85279493325653,569207.761406051,147738.919736622,3151.78
"SW3-5861",-0.0173908768107824,1.26479840331512,1.29766523449206,7.5,3.19779943294693,222287.246587217,69512.5667660678,1944.32
"SW3-5862",0.134926329392945,2.22881763162477,1.99989848740258,7.2,3.15384827652027,256939.907444956,81468.696309147,2266.16
"SW3-5864",0.0318803818150188,1.56192659600983,1.50457982618125,5.1,2.24925391099861,184837.895301011,82177.4253218694,2922.49
"SW3-5865",0.0487320320915193,1.35858322815496,1.29925205335265,8.6,4.05907904160897,385462.297118647,94962.9936168611,2386.37
"SW3-5867",0.0480520605861682,2.18022470457058,2.07200896399443,8.1,2.9700683357767,119533.773077315,40246.1356317769,1788.73
"SW3-5868",0.0346967749434949,1.32685181616714,1.28432119763397,16.4,7.73777853967312,324826.873242039,41979.3447921244,1576.11
"SW3-5869",0.0207312809605555,1.76185807890767,1.72699947689406,39.5,14.8474232974833,2418235.12775235,162872.37719977,4094.92
"SW3-5870",-0.0409776117395047,1.10236200140654,1.16980290476666,13.6,5.92772209950599,283111.619830541,47760.6094007233,2943.1
"SW3-5871",-0.131024336433021,0.950666655955445,1.08716890882579,7.2,2.81576971855786,117017.095814105,41557.7648423739,1937.8
"SW3-5872",-0.14023079673784,1.0707287745127,1.30093467996094,10,3.60776540029562,232263.6304059,64378.8064453603,2417.37
"SW3-5873",-0.0943212344945688,1.52815818003091,1.67424478235258,16,5.13123530555854,350955.19571088,68395.8491107783,3032.19
"SW3-5874",-0.00752388161144836,1.89662963585795,1.91081195832564,6,2.07546282076892,35138.1741754784,16930.2836089641,1359.77
"SW3-5875",-0.0929544601050277,1.38136140340314,1.50111742422774,12.8,4.43129295243728,115675.131729792,26104.1490534199,1513.38
"SW3-5877",-0.0402068959668265,1.508328063769,1.5718048482527,12,4.36989044345959,358725.179460371,82090.1997662837,2200.97
"SW3-5878",-0.175328483374819,1.72689433646293,2.01471736253917,20,5.33377221392203,2390032.03025738,448094.13195768,5948.32
"SW3-5879",0.0504686600721885,1.38214366581852,1.29855035889745,6,2.86609262611748,224479.928945574,78322.6358073651,4032.84
"SW3-5881",0.0388899492873208,1.76831837427849,1.69975602880196,8.1,3.19052329273178,349193.447807833,109447.076786218,2561.33
"SW3-5882",-0.0137387470329348,0.832653169453019,0.858550352687104,6,3.14689795467489,104029.696369347,33057.8550266638,1599.42
"SW3-5883",-0.0552577562871124,1.85412442141158,1.94801286275112,8,2.70556914576886,123440.314751067,45624.5278166741,1492.85
"SW3-5888",-0.0438535843822165,1.34319089551032,1.39282471412514,15,5.30408175593988,189281.344646457,35685.9779611215,1906.35
"SW3-5890",-0.145633737442496,1.07446179193366,1.29818231584929,9.1,3.17853882334037,169665.434580555,53378.4370776543,1696.6
"SW3-5891",0.0422393424381042,0.757990484825933,0.720931436224923,2.1,1.32259148629181,59664.0056280736,45111.439357103,1807.11
"SW3-5892",-0.0888932374290694,0.885585393810514,0.97887716838922,10.4,4.52978428930499,230217.582411069,50823.0784751985,2028.32
"SW3-5895",-0.0699781895615829,0.981698783099312,1.0718537849888,12.8,5.56419521361348,164210.922411022,29512.0706781207,1364.68
"SW3-5896",0.0428127065610389,1.49447064183105,1.43120870470091,9,4.01796317500188,82145.8117144315,20444.6402658713,1248.02
"SW3-5897",-0.195121396532,1.39408354453528,1.61695789106749,8.5,2.43499442692546,984729.596956913,404407.330903126,5924.7
"SW3-5905",-0.0200623227210532,1.20232014958781,1.2197855314471,8.3,3.60781792416549,149647.596297764,41478.699713589,2137.57
"SW3-5907",-0.017075256715914,1.22052317293022,1.23836019319484,13.7,5.99399275895435,228797.898648407,38171.2003750103,1575.87
"SW3-5908",NA,NA,NA,NA,NA,NA,NA,NA
"SW3-5913",-0.0748899405221462,1.5242632842784,1.65780822197588,9.7,3.12188799087883,252969.209145184,81030.8409155871,2401.91
"SW3-5916",0.0314050782853393,1.89677812569827,1.81541534133356,7.4,2.8377194776818,60017.5883717402,21149.9370687514,1767.98
"SW3-5918",0.00046755473577905,1.28470792786394,1.28393793138137,10.5,4.66648164891933,412243.34025051,88341.3610650281,2799.07
"SW3-5925",-0.0487485816898987,1.13050254982582,1.1946643347514,14.3,5.91594736973608,214885.67727854,36323.1218684973,1491.74
"SW3-5927",0.00987417542786165,1.76525074823571,1.74749057719275,7,2.57930240592618,177951.4134029,68992.070489308,2465.26
"SW3-5928",-0.00130364307993737,1.11029548070996,1.11358775474241,3,1.42750816743297,52305.7532386758,36641.2987553935,1990.08
